# OpenSignals Text File Format. Version 1
# {"20:19:07:00:80:4C": {"position": 0, "device": "bitalino_rev", "device name": "20:19:07:00:80:4C", "device connection": "BTH20:19:07:00:80:4C", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2022-4-1", "time": "15:46:15.136", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["RAW", "RAW", "RAW", "RAW", "RAW", "RAW"], "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2", "A3", "A4", "A5", "A6"], "special": [{}, {}, {}, {}, {}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	501	511	511	511	31	31	
1	0	0	0	0	500	511	510	511	31	31	
2	0	0	0	0	503	511	506	509	31	31	
3	0	0	0	0	504	510	508	511	31	31	
4	0	0	0	0	505	510	503	510	31	31	
5	0	0	0	0	503	511	502	510	31	31	
6	0	0	0	0	504	512	500	511	31	32	
7	0	0	0	0	503	512	509	513	31	32	
8	0	0	0	0	505	511	502	508	31	32	
9	0	0	0	0	505	513	504	507	31	31	
10	0	0	0	0	505	512	508	511	31	32	
11	0	0	0	0	504	513	504	511	31	31	
12	0	0	0	0	505	515	518	508	31	31	
13	0	0	0	0	503	514	517	508	31	32	
14	0	0	0	0	504	514	514	512	31	31	
15	0	0	0	0	504	514	526	511	31	31	
0	0	0	0	0	505	511	508	510	31	31	
1	0	0	0	0	504	511	510	510	31	31	
2	0	0	0	0	500	511	514	509	31	31	
3	0	0	0	0	500	511	507	511	31	31	
4	0	0	0	0	502	510	502	509	31	31	
5	0	0	0	0	502	513	506	510	31	31	
6	0	0	0	0	502	513	508	510	31	31	
7	0	0	0	0	502	512	505	510	31	31	
8	0	0	0	0	504	513	501	509	31	31	
9	0	0	0	0	505	510	513	511	31	31	
10	0	0	0	0	504	512	511	509	31	31	
11	0	0	0	0	500	512	512	510	31	32	
12	0	0	0	0	503	514	505	509	31	32	
13	0	0	0	0	504	513	515	510	31	31	
14	0	0	0	0	507	515	526	511	31	31	
15	0	0	0	0	505	514	527	510	31	31	
0	0	0	0	0	506	513	512	512	31	31	
1	0	0	0	0	506	513	507	512	31	31	
2	0	0	0	0	503	511	501	508	31	31	
3	0	0	0	0	507	512	503	510	31	31	
4	0	0	0	0	506	517	511	508	31	31	
5	0	0	0	0	505	514	512	510	31	32	
6	0	0	0	0	504	513	517	510	31	31	
7	0	0	0	0	502	512	513	510	31	31	
8	0	0	0	0	500	511	500	509	31	31	
9	0	0	0	0	500	512	504	510	31	31	
10	0	0	0	0	501	513	508	514	31	31	
11	0	0	0	0	503	509	505	513	31	31	
12	0	0	0	0	500	509	510	511	31	31	
13	0	0	0	0	502	513	512	511	31	31	
14	0	0	0	0	503	511	508	511	31	32	
15	0	0	0	0	507	508	510	508	31	31	
0	0	0	0	0	505	511	510	505	31	31	
1	0	0	0	0	506	513	505	509	31	31	
2	0	0	0	0	505	511	506	510	31	31	
3	0	0	0	0	505	513	507	508	31	31	
4	0	0	0	0	504	514	510	512	31	31	
5	0	0	0	0	505	510	504	510	31	31	
6	0	0	0	0	504	515	506	510	31	31	
7	0	0	0	0	504	513	509	510	31	31	
8	0	0	0	0	502	513	507	512	31	31	
9	0	0	0	0	503	511	511	512	31	32	
10	0	0	0	0	503	512	510	511	31	31	
11	0	0	0	0	505	512	508	510	31	32	
12	0	0	0	0	504	513	511	511	31	31	
13	0	0	0	0	503	514	506	511	31	31	
14	0	0	0	0	504	512	514	509	31	31	
15	0	0	0	0	502	512	515	510	31	31	
0	0	0	0	0	504	512	518	507	31	31	
1	0	0	0	0	502	514	511	510	31	31	
2	0	0	0	0	504	514	511	512	31	32	
3	0	0	0	0	503	512	511	512	31	31	
4	0	0	0	0	502	514	506	511	31	31	
5	0	0	0	0	502	512	505	513	31	31	
6	0	0	0	0	503	511	511	510	31	31	
7	0	0	0	0	502	510	508	511	31	31	
8	0	0	0	0	504	511	503	510	31	31	
9	0	0	0	0	503	511	504	511	31	31	
10	0	0	0	0	504	513	508	512	31	31	
11	0	0	0	0	502	514	517	510	31	32	
12	0	0	0	0	501	512	516	511	31	32	
13	0	0	0	0	503	512	512	513	31	31	
14	0	0	0	0	504	512	519	507	31	31	
15	0	0	0	0	505	512	504	507	31	31	
0	0	0	0	0	505	512	500	508	31	31	
1	0	0	0	0	504	512	513	510	31	31	
2	0	0	0	0	505	512	512	509	31	32	
3	0	0	0	0	505	513	514	508	31	31	
4	0	0	0	0	504	515	519	510	31	32	
5	0	0	0	0	504	510	512	511	31	31	
6	0	0	0	0	500	510	511	511	31	31	
7	0	0	0	0	503	511	512	511	31	31	
8	0	0	0	0	504	511	503	510	31	31	
9	0	0	0	0	508	513	502	506	31	31	
10	0	0	0	0	508	513	508	508	31	31	
11	0	0	0	0	505	515	501	512	31	31	
12	0	0	0	0	508	517	511	514	31	32	
